dttm,lon,lat,sys_dttm,sys_date,sys_time,nav_dttm,nav_time,nav_lon,nav_lat,nav_sog,nav_cog,nav_quality,lab_dttm,lab_time,lab_lon,lab_lat,lab_sog,lab_cog,lab_quality,temp,sal,fluor,fluor_1min,fluor_60min,CDOM,CDOM_1min,CDOM_60min,xmiss,xmiss_1min,xmiss_60min,wind_sp,wind_dir,wind_sp_rel,wind_dir_rel,heading,pitch,roll,depth,wire_payout,wire_tension,wire_speed
2018-06-08T19:24:23.000Z,-70.67108833333333,41.52334666666667,2018-06-08T19:21:53.000Z,2018-06-08,19:21:53,NA,"NA",-70.67108833333333,41.52334666666667,NA,NA,1,2018-06-08T19:24:23.000Z,19:24:23,-70.671112,41.52335266666667,0.09,169.38,1,17.7467,0,989,995.78,996.37,223,223.57,223.57,4628,4584.37,4584.35,16,229.39,16,169,59.39,-0.41,1.53,NA,NA,NA,NA
2018-06-08T19:25:23.000Z,-70.671105,41.52334333333334,2018-06-08T19:22:53.000Z,2018-06-08,19:22:53,NA,"NA",-70.671105,41.52334333333334,NA,NA,1,2018-06-08T19:25:23.000Z,19:25:23,-70.671113,41.523352333333335,0.03,0,1,17.7502,0,1017,991.66,995.87,225,223.53,223.56,4630,4589.23,4589.21,20,227.64,20,164,59.63,-0.38,1.36,NA,NA,NA,NA
2018-06-08T19:26:23.000Z,-70.67110333333333,41.523335,2018-06-08T19:23:53.000Z,2018-06-08,19:23:53,NA,"NA",-70.67110333333333,41.523335,NA,NA,1,2018-06-08T19:26:23.000Z,19:26:23,-70.6711055,41.5233365,0.26,274.63,1,17.7531,0,1026,993.58,995.64,223,223.87,223.59,4637,4593.53,4593.5,20.8,226.98,20,173,55.21,-0.47,1.64,NA,NA,NA,NA
2018-06-08T19:27:23.000Z,-70.671365,41.52326333333333,2018-06-08T19:24:53.000Z,2018-06-08,19:24:53,NA,"NA",-70.671365,41.52326333333333,NA,NA,1,2018-06-08T19:27:23.000Z,19:27:23,-70.671391,41.52326216666667,1.4,241.28,1,17.756,0,1049,997.68,995.87,223,223.77,223.61,4652,4605.35,4598.18,20.01,222.65,21,161,64.99,-0.55,1.13,NA,NA,NA,NA
2018-06-08T19:28:23.000Z,-70.67191,41.52292833333333,2018-06-08T19:25:53.000Z,2018-06-08,19:25:53,NA,"NA",-70.67191,41.52292833333333,NA,NA,1,2018-06-08T19:28:23.000Z,19:28:23,-70.67193983333334,41.52290983333334,2.41,221.45,1,17.7586,0,987,998.63,996.02,222,223.73,223.61,4659,4613.42,4603.01,19.71,219.34,22,175,46.34,-0.52,1.74,NA,NA,NA,NA
2018-06-08T19:29:23.000Z,-70.67229166666667,41.52241166666666,2018-06-08T19:26:53.000Z,2018-06-08,19:26:53,NA,"NA",-70.67229166666667,41.52241166666666,NA,NA,1,2018-06-08T19:29:23.000Z,19:29:23,-70.672287,41.52241433333333,0.63,43.84,1,17.7613,0,971,991.53,995.69,224,223.78,223.63,4671,4621.85,4607.65,18.32,221.58,18,195,25.95,-0.38,2.12,NA,NA,NA,NA
2018-06-08T19:30:23.000Z,-70.67201333333334,41.52274166666667,2018-06-08T19:27:53.000Z,2018-06-08,19:27:53,NA,"NA",-70.67201333333334,41.52274166666667,NA,NA,1,2018-06-08T19:30:23.000Z,19:30:23,-70.672004,41.522755,0.95,22.66,1,17.764,0,991,1001.98,996.15,222,223.53,223.63,4685,4630.96,4612.69,15.19,231.1,16,204,23.98,-0.42,2.91,NA,NA,NA,NA
2018-06-08T19:31:23.000Z,-70.671885,41.52290333333333,2018-06-08T19:28:53.000Z,2018-06-08,19:28:53,NA,"NA",-70.671885,41.52290333333333,NA,NA,1,2018-06-08T19:31:23.000Z,19:31:23,-70.6718715,41.52291016666667,1.03,43.48,1,17.7665,0,1008,995.17,996.09,222,223.68,223.63,4690,4639.79,4617.64,14.9,229.87,15,185,34.68,-0.35,2.19,NA,NA,NA,NA
2018-06-08T19:32:23.000Z,-70.67187333333334,41.522945,2018-06-08T19:29:53.000Z,2018-06-08,19:29:53,NA,"NA",-70.67187333333334,41.522945,NA,NA,1,2018-06-08T19:32:23.000Z,19:32:23,-70.67187516666667,41.522948,0.62,231.62,1,17.7691,0,1032,997.41,996.16,222,223.57,223.64,4694,4648.31,4622.18,17.84,219.54,20,171,52.17,-0.54,1.12,NA,NA,NA,NA
2018-06-08T19:33:23.000Z,-70.67221833333333,41.522755,2018-06-08T19:30:53.000Z,2018-06-08,19:30:53,NA,"NA",-70.67221833333333,41.522755,NA,NA,1,2018-06-08T19:33:23.000Z,19:33:23,-70.67223233333333,41.52274283333333,1.92,222.37,1,16.3919,30.7221,2355,2158.24,1064.45,252,283.63,227.42,8127,4550.31,4560.18,20.45,220.61,22,163,55.49,-0.35,1.49,NA,NA,NA,NA
2018-06-08T19:34:23.000Z,-70.67257833333333,41.522238333333334,2018-06-08T19:31:53.000Z,2018-06-08,19:31:53,NA,"NA",-70.67257833333333,41.522238333333334,NA,NA,1,2018-06-08T19:34:23.000Z,19:34:23,-70.67258466666667,41.52221616666667,2.43,201.67,1,16.309,31.4694,2195,2200,1126.32,234,237.42,227.99,10556,5045.32,4859.25,16.71,222.41,19,193,28.71,-0.38,1.94,NA,NA,NA,NA
